monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250713,20250720,184
0,0,0,0,0,0,1,20250713,20250720,451
0,0,0,0,0,0,1,20250713,20250727,655
0,0,0,0,0,0,1,20250713,20250727,70
0,0,0,0,0,0,1,20250713,20250727,743
0,0,0,0,0,0,1,20250713,20250803,185
0,0,0,0,0,0,1,20250713,20250803,299
0,0,0,0,0,0,1,20250713,20250803,352
0,0,0,0,0,0,1,20250713,20250803,502
0,0,0,0,0,0,1,20250713,20250803,905
0,0,0,0,0,0,1,20250713,20250809,612
0,0,0,0,0,0,1,20250713,20250810,195
0,0,0,0,0,0,1,20250713,20250810,218
0,0,0,0,0,0,1,20250713,20250810,255
0,0,0,0,0,0,1,20250713,20250810,270
0,0,0,0,0,0,1,20250713,20250810,465
0,0,0,0,0,0,1,20250713,20250810,519
0,0,0,0,0,0,1,20250713,20250810,756
0,0,0,0,0,0,1,20250713,20250810,868
0,0,0,0,0,0,1,20250719,20250720,640
0,0,0,0,0,0,1,20250720,20250727,430
0,0,0,0,0,0,1,20250720,20250803,447
0,0,0,0,0,0,1,20250720,20250803,530
0,0,0,0,0,0,1,20250720,20250810,616
0,0,0,0,0,0,1,20250720,20250810,858
0,0,0,0,0,0,1,20250720,20250810,902
0,0,0,0,0,0,1,20250720,20250810,917
0,0,0,0,0,0,1,20250726,20250803,237
0,0,0,0,0,0,1,20250727,20250803,541
0,0,0,0,0,0,1,20250727,20250810,506
0,0,0,0,0,0,1,20250727,20250810,532
0,0,0,0,0,0,1,20250727,20250810,582
0,0,0,0,0,0,1,20250801,20250810,919
0,0,0,0,0,0,1,20250802,20250810,718
0,0,0,0,0,0,1,20250802,20250812,82
0,0,0,0,0,0,1,20250803,20250810,197
0,0,0,0,0,1,0,20250713,20250810,573
0,0,0,0,0,1,0,20250716,20250809,341
0,0,0,0,0,1,0,20250719,20250726,649
0,0,0,0,0,1,0,20250719,20250731,298
0,0,0,0,0,1,0,20250719,20250802,321
0,0,0,0,0,1,0,20250719,20250802,524
0,0,0,0,0,1,0,20250719,20250809,10
0,0,0,0,0,1,0,20250719,20250809,327
0,0,0,0,0,1,0,20250719,20250809,546
0,0,0,0,0,1,0,20250719,20250809,741
0,0,0,0,0,1,0,20250719,20250812,251
0,0,0,0,0,1,0,20250726,20250802,158
0,0,0,0,0,1,0,20250726,20250803,810
0,0,0,0,0,1,0,20250726,20250809,245
0,0,0,0,0,1,0,20250726,20250809,595
0,0,0,0,0,1,0,20250727,20250809,660
0,0,0,0,0,1,0,20250802,20250809,187
0,0,0,0,0,1,0,20250802,20250809,403
0,0,0,0,0,1,0,20250802,20250809,930
0,0,0,0,0,1,1,20250713,20250719,543
0,0,0,0,0,1,1,20250713,20250720,253
0,0,0,0,0,1,1,20250713,20250727,278
0,0,0,0,0,1,1,20250713,20250727,345
0,0,0,0,0,1,1,20250713,20250727,466
0,0,0,0,0,1,1,20250713,20250803,735
0,0,0,0,0,1,1,20250713,20250809,554
0,0,0,0,0,1,1,20250713,20250809,728
0,0,0,0,0,1,1,20250713,20250809,802
0,0,0,0,0,1,1,20250713,20250809,840
0,0,0,0,0,1,1,20250713,20250809,900
0,0,0,0,0,1,1,20250713,20250810,104
0,0,0,0,0,1,1,20250713,20250810,141
0,0,0,0,0,1,1,20250713,20250810,145
0,0,0,0,0,1,1,20250713,20250810,252
0,0,0,0,0,1,1,20250713,20250810,294
0,0,0,0,0,1,1,20250713,20250810,326
0,0,0,0,0,1,1,20250713,20250810,376
0,0,0,0,0,1,1,20250713,20250810,406
0,0,0,0,0,1,1,20250713,20250810,587
0,0,0,0,0,1,1,20250713,20250810,778
0,0,0,0,0,1,1,20250713,20250810,821
0,0,0,0,0,1,1,20250719,20250720,459
0,0,0,0,0,1,1,20250719,20250727,250
0,0,0,0,0,1,1,20250719,20250803,801
0,0,0,0,0,1,1,20250719,20250803,803
0,0,0,0,0,1,1,20250719,20250809,22
0,0,0,0,0,1,1,20250719,20250809,836
0,0,0,0,0,1,1,20250719,20250810,226
0,0,0,0,0,1,1,20250719,20250810,336
0,0,0,0,0,1,1,20250719,20250810,628
0,0,0,0,0,1,1,20250719,20250810,677
0,0,0,0,0,1,1,20250719,20250810,808
0,0,0,0,0,1,1,20250720,20250726,322
0,0,0,0,0,1,1,20250720,20250810,822
0,0,0,0,0,1,1,20250726,20250727,742
0,0,0,0,0,1,1,20250726,20250803,635
0,0,0,0,0,1,1,20250726,20250809,284
0,0,0,0,0,1,1,20250726,20250810,137
0,0,0,0,0,1,1,20250726,20250810,415
0,0,0,0,0,1,1,20250727,20250802,485
0,0,0,0,0,1,1,20250802,20250803,761
0,0,0,0,0,1,1,20250802,20250809,584
0,0,0,0,0,1,1,20250802,20250810,572
0,0,0,0,0,1,1,20250803,20250809,43
0,0,0,0,0,1,1,20250803,20250810,835
0,0,0,0,0,1,1,20250809,20250810,77
0,0,0,0,1,0,0,20250718,20250725,898
0,0,0,0,1,0,0,20250718,20250801,194
0,0,0,0,1,0,0,20250718,20250801,770
0,0,0,0,1,0,0,20250718,20250808,520
0,0,0,0,1,0,0,20250718,20250808,627
0,0,0,0,1,0,0,20250718,20250808,765
0,0,0,0,1,0,0,20250718,20250809,927
0,0,0,0,1,0,0,20250718,20250812,529
0,0,0,0,1,0,0,20250725,20250801,264
0,0,0,0,1,0,0,20250725,20250808,549
0,0,0,0,1,0,0,20250725,20250808,815
0,0,0,0,1,0,0,20250801,20250808,928
0,0,0,0,1,0,1,20250713,20250720,548
0,0,0,0,1,0,1,20250713,20250725,829
0,0,0,0,1,0,1,20250713,20250808,738
0,0,0,0,1,0,1,20250713,20250810,885
0,0,0,0,1,0,1,20250718,20250720,285
0,0,0,0,1,0,1,20250718,20250812,72
0,0,0,0,1,0,1,20250720,20250727,404
0,0,0,0,1,0,1,20250725,20250727,20
0,0,0,0,1,0,1,20250725,20250801,324
0,0,0,0,1,0,1,20250725,20250810,60
0,0,0,0,1,0,1,20250727,20250801,208
0,0,0,0,1,0,1,20250727,20250801,312
0,0,0,0,1,0,1,20250727,20250803,637
0,0,0,0,1,0,1,20250801,20250803,293
0,0,0,0,1,0,1,20250801,20250808,825
0,0,0,0,1,0,1,20250808,20250810,164
0,0,0,0,1,1,0,20250718,20250719,49
0,0,0,0,1,1,0,20250718,20250726,75
0,0,0,0,1,1,0,20250718,20250809,260
0,0,0,0,1,1,0,20250719,20250725,565
0,0,0,0,1,1,0,20250719,20250726,641
0,0,0,0,1,1,0,20250719,20250808,207
0,0,0,0,1,1,0,20250719,20250810,266
0,0,0,0,1,1,0,20250725,20250726,670
0,0,0,0,1,1,0,20250726,20250801,146
0,0,0,0,1,1,0,20250726,20250803,162
0,0,0,0,1,1,0,20250801,20250802,190
0,0,0,0,1,1,0,20250801,20250808,663
0,0,0,0,1,1,0,20250802,20250808,710
0,0,0,0,1,1,0,20250802,20250809,342
0,0,0,0,1,1,0,20250808,20250809,311
0,0,0,0,1,1,1,20250713,20250720,644
0,0,0,0,1,1,1,20250713,20250725,623
0,0,0,0,1,1,1,20250713,20250807,118
0,0,0,0,1,1,1,20250713,20250810,442
